X,Y,LED1,LED2,LED3,LED4
4.0736,3.7243,8.78E-05,1.22E-05,0.00013303,0.061205
4.529,4.4613,2.89E-05,7.95E-06,6.44E-05,0.0095622
0.63493,1.213,0.01808,1.57E-05,7.30E-05,9.57E-05
4.5669,0.64798,0.00016165,1.51E-06,0.0027079,0.00028063
3.1618,1.1253,0.00062193,7.06E-06,0.0017375,0.00040045
0.4877,1.7501,0.0038104,2.55E-05,5.87E-05,0.00012226
1.3925,1.4354,0.0092279,1.93E-05,0.00014271,0.00020221
2.7344,4.6374,9.95E-05,4.19E-05,4.48E-05,0.0022745
4.7875,0.25657,0.00012383,5.04E-07,0.00099207,0.00018784
4.8244,2.9633,7.45E-05,5.34E-06,0.0002347,0.0025783
0.78807,0.81449,0.040331,1.11E-05,8.42E-05,7.84E-05
4.853,4.192,2.60E-05,6.07E-06,7.60E-05,0.0064053
4.7858,0.8378,0.0001343,1.42E-06,0.0019343,0.00031602
2.4269,2.511,0.00063975,3.14E-05,0.00021461,0.00086412
4.0014,4.9966,2.65E-05,1.11E-05,4.06E-05,0.0049512
0.70943,1.777,0.0047084,2.76E-05,7.12E-05,0.00015032
2.1088,0.23539,0.0016766,5.51E-06,0.00025978,0.00011962
4.5787,1.0683,0.00016297,2.29E-06,0.0037274,0.00040765
3.961,1.9892,0.00023882,7.22E-06,0.0012693,0.0010986
4.7975,1.6683,0.00012467,2.93E-06,0.0010798,0.00066105
3.2787,1.148,0.00054883,6.69E-06,0.0023047,0.00042269
0.17856,4.6806,0.00013404,0.00013128,3.26E-06,0.00017886
4.2456,3.4159,9.43E-05,1.00E-05,0.00017735,0.012094
4.67,4.8106,1.22E-05,6.54E-06,4.54E-05,0.0041776
3.3937,2.1899,0.00035552,1.23E-05,0.00065214,0.001206
3.7887,4.7017,4.75E-05,1.46E-05,5.36E-05,0.0091152
3.7157,0.029172,0.00029645,1.78E-06,0.0011922,0.00016433
1.9611,3.0515,0.00053674,7.99E-05,0.00010491,0.00081302
3.2774,4.0054,0.00012399,2.67E-05,9.29E-05,0.009558
0.85593,1.1649,0.066792,1.54E-05,8.97E-05,0.00011166
3.5302,4.6623,6.06E-05,1.87E-05,5.40E-05,0.0071417
0.15916,3.8163,0.00028396,0.00021424,1.39E-05,0.00018754
1.3846,4.1322,0.00023775,0.00096457,3.31E-05,0.00058386
0.23086,2.8673,0.00070636,7.82E-05,3.01E-05,0.00016611
0.48566,3.9629,0.0002709,0.00061144,1.76E-05,0.00025532
4.1173,1.6452,0.00022984,5.23E-06,0.0029217,0.0007566
3.4741,1.1173,0.00045138,5.78E-06,0.0043322,0.00043087
1.5855,1.5619,0.0047638,2.08E-05,0.0001666,0.00025085
4.7511,2.9226,8.16E-05,5.64E-06,0.0002532,0.0026357
0.17223,4.1496,0.00021346,0.00022524,9.62E-06,0.00019021
2.1937,1.4523,0.0019284,1.51E-05,0.00032538,0.00033801
1.9078,2.0128,0.0016311,2.83E-05,0.00018916,0.00041911
3.8276,4.3103,6.70E-05,1.53E-05,7.70E-05,0.038399
3.976,3.0737,0.0001429,1.16E-05,0.00025867,0.0057513
0.93436,4.9559,0.00011482,0.0001736,8.75E-06,0.00032693
2.4488,1.0185,0.0015165,9.44E-06,0.00049355,0.00027602
2.2279,4.136,0.00018908,0.00010226,5.49E-05,0.0014482
3.2316,3.3793,0.00019891,2.51E-05,0.00016131,0.0047578
3.5468,1.2447,0.00041573,6.04E-06,0.0045998,0.00049112
3.7734,2.3789,0.0002387,1.02E-05,0.00061331,0.0017291
1.3801,1.9954,0.0028117,3.41E-05,0.00011934,0.00028581
3.3985,2.9972,0.00022725,1.86E-05,0.0002498,0.0033858
3.2755,4.0026,0.0001244,2.67E-05,9.31E-05,0.0095076
0.81306,0.52534,0.012594,8.59E-06,8.32E-05,5.99E-05
0.59499,4.1072,0.00024244,0.00091609,1.72E-05,0.00028163
2.4918,4.2054,0.00016017,6.71E-05,5.89E-05,0.0020243
4.7987,1.7725,0.00012176,3.13E-06,0.00094026,0.00072849
1.7019,2.1503,0.0016831,3.59E-05,0.00014725,0.00039562
2.9263,2.8612,0.00034435,2.64E-05,0.00022608,0.0017973
1.1191,3.5041,0.00043819,0.00061815,4.34E-05,0.00043413
